Lexical Analysis of syntax_file.shs:

Line 1: Lexeme: toptier         Token: TOPTIER
Line 1: Lexeme: (               Token: DELIM_O_PAREN
Line 1: Lexeme: )               Token: DELIM_C_PAREN
Line 1: Lexeme: {               Token: DELIM_O_BRACE
Line 2: Lexeme: test            Token: IDENTIFIER
Line 2: Lexeme: +=              Token: +=
Line 2: Lexeme: expression      Token: IDENTIFIER
Line 2: Lexeme: ;               Token: DELIM_SEMCOL
Line 3: Lexeme: this            Token: IDENTIFIER
Line 3: Lexeme: ||              Token: ||
Line 3: Lexeme: that            Token: IDENTIFIER
Line 3: Lexeme: ;               Token: DELIM_SEMCOL
Line 4: Lexeme: this            Token: IDENTIFIER
Line 4: Lexeme: &&              Token: &&
Line 4: Lexeme: that            Token: IDENTIFIER
Line 4: Lexeme: ;               Token: DELIM_SEMCOL
Line 5: Lexeme: this            Token: IDENTIFIER
Line 5: Lexeme: ==              Token: ==
Line 5: Lexeme: that            Token: IDENTIFIER
Line 5: Lexeme: ;               Token: DELIM_SEMCOL
Line 6: Lexeme: this            Token: IDENTIFIER
Line 6: Lexeme: >=              Token: >=
Line 6: Lexeme: that            Token: IDENTIFIER
Line 6: Lexeme: ;               Token: DELIM_SEMCOL
Line 7: Lexeme: this            Token: IDENTIFIER
Line 7: Lexeme: +               Token: +
Line 7: Lexeme: that            Token: IDENTIFIER
Line 7: Lexeme: ;               Token: DELIM_SEMCOL
Line 8: Lexeme: this            Token: IDENTIFIER
Line 8: Lexeme: *               Token: *
Line 8: Lexeme: that            Token: IDENTIFIER
Line 8: Lexeme: ;               Token: DELIM_SEMCOL
Line 9: Lexeme: !               Token: !
Line 9: Lexeme: cap             Token: CONSTANT_LEGIT
Line 9: Lexeme: ;               Token: DELIM_SEMCOL
Line 10: Lexeme: i               Token: IDENTIFIER
Line 10: Lexeme: ++              Token: ++
Line 10: Lexeme: ;               Token: DELIM_SEMCOL
Line 12: Lexeme: //              Token: COMMENT
Line 13: Lexeme: input           Token: INPUT          
Line 13: Lexeme: (               Token: DELIM_O_PAREN
Line 13: Lexeme: "%d"            Token: CONSTANT_TXTFS
Line 13: Lexeme: ,               Token: DELIM_COMMA
Line 13: Lexeme: &               Token: &
